"Time Offset [ms]","Time [ms]","Patched Time [ms]","Time [hh:mm:ss.ms]","T-Zero Time [ms]","T-zero Time [hh:mm:ss.ms]","Temperature [ºC]","Humidity [%RH]","X [g]","Y [g]","Z [g]","Magnitude [g]","Pressure [hPa]","Temperature [ºC]","Altitude [m]","eCO2 [ppm]","TVOC [ppb]"
,6124704,6124704,01:42:04.704,0,00:00:00.000,31.9,51.11,1.00,0.05,1.92,2.17,1007,31.1,59,407,24
,6124749,6124749,01:42:04.749,45,00:00:00.045,31.9,51.19,0.92,0.94,1.98,2.38,1007,31.1,59,413,18
,6124794,6124794,01:42:04.794,90,00:00:00.090,31.9,51.17,-0.59,0.70,1.98,2.18,1007,31.1,59,403,23
,6124838,6124838,01:42:04.838,134,00:00:00.134,31.9,51.14,0.66,0.72,1.98,2.21,1007,31.1,59,412,21
,6124884,6124884,01:42:04.884,180,00:00:00.180,31.9,51.19,1.31,-0.61,1.98,2.45,1007,31.1,59,411,21
,6124929,6124929,01:42:04.929,225,00:00:00.225,31.9,51.17,0.86,-0.03,1.98,2.16,1007,31.1,59,400,17
,6124974,6124974,01:42:04.974,270,00:00:00.270,31.9,51.14,1.98,-0.59,1.98,2.86,1007,31.1,59,412,22
,6125021,6125021,01:42:05.021,317,00:00:00.317,31.9,51.13,-0.48,0.36,1.98,2.07,1007,31.1,59,408,23
,6125066,6125066,01:42:05.066,362,00:00:00.362,31.9,51.11,1.98,-0.39,1.98,2.83,1007,31.1,59,410,19
,6125112,6125112,01:42:05.112,408,00:00:00.408,31.9,51.09,-1.55,0.88,1.98,2.66,1007,31.1,59,406,17
,6125157,6125157,01:42:05.157,453,00:00:00.453,31.9,51.08,0.11,0.42,1.98,2.03,1007,31.1,59,412,18
,6125202,6125202,01:42:05.202,498,00:00:00.498,31.9,51.08,1.38,-1.48,1.98,2.83,1007,31.1,59,403,21
,6125246,6125246,01:42:05.246,542,00:00:00.542,31.9,51.05,-0.88,0.09,1.98,2.17,1007,31.1,59,409,23
,6125300,6125300,01:42:05.300,596,00:00:00.596,31.9,51.00,1.75,0.66,1.98,2.72,1007,31.1,59,410,20
,6125346,6125346,01:42:05.346,642,00:00:00.642,31.8,51.11,1.98,1.98,1.98,3.43,1007,31.1,59,408,19
,6125393,6125393,01:42:05.393,689,00:00:00.689,31.8,52.29,-1.98,1.06,1.98,2.99,1007,31.1,59,410,23
,6125438,6125438,01:42:05.438,734,00:00:00.734,31.8,52.25,-1.20,-1.39,1.98,2.70,1007,31.1,59,406,18
,6125484,6125484,01:42:05.484,780,00:00:00.780,31.9,52.27,-2.00,0.88,1.98,2.95,1007,31.1,59,409,21
,6125529,6125529,01:42:05.529,825,00:00:00.825,31.8,52.27,0.23,0.06,1.98,1.99,1007,31.1,59,411,19
,6125574,6125574,01:42:05.574,870,00:00:00.870,31.8,52.27,-1.06,-0.22,1.98,2.26,1007,31.1,59,407,24
,6125619,6125619,01:42:05.619,915,00:00:00.915,31.8,52.29,0.34,0.75,1.98,2.14,1007,31.1,59,403,24
,6125664,6125664,01:42:05.664,960,00:00:00.960,31.8,52.26,1.98,-1.25,1.98,3.07,1007,31.1,58,406,19
,6125709,6125709,01:42:05.709,1005,00:00:01.005,31.9,52.29,1.88,-0.70,1.98,2.82,1007,31.1,58,406,24
,6125754,6125754,01:42:05.754,1050,00:00:01.050,31.9,52.27,0.05,1.55,1.98,2.52,1007,31.1,58,403,19
,6125801,6125801,01:42:05.801,1097,00:00:01.097,31.9,52.25,1.44,0.58,1.98,2.52,1007,31.1,58,403,23
,6125846,6125846,01:42:05.846,1142,00:00:01.142,31.9,52.27,-1.47,1.67,1.98,2.98,1007,31.1,58,404,17
,6125892,6125892,01:42:05.892,1188,00:00:01.188,31.8,52.25,1.36,-0.47,1.98,2.45,1007,31.1,58,406,24
,6125937,6125937,01:42:05.937,1233,00:00:01.233,31.9,52.26,1.11,-0.64,1.98,2.36,1007,31.1,58,401,20
,6125982,6125982,01:42:05.982,1278,00:00:01.278,31.9,52.29,-1.83,0.64,1.98,2.77,1007,31.1,58,404,26
,6126027,6126027,01:42:06.027,1323,00:00:01.323,31.8,52.30,-0.47,0.23,1.98,2.05,1007,31.1,58,402,23
,6126072,6126072,01:42:06.072,1368,00:00:01.368,31.9,52.32,-1.39,1.14,1.98,2.67,1007,31.1,58,405,22
,6126117,6126117,01:42:06.117,1413,00:00:01.413,31.8,52.34,0.42,-0.78,1.98,2.17,1007,31.1,58,400,20
,6126162,6126162,01:42:06.162,1458,00:00:01.458,31.9,52.36,0.48,-0.45,1.98,2.09,1007,31.1,58,409,21
,6126209,6126209,01:42:06.209,1505,00:00:01.505,31.8,52.41,0.44,1.00,1.98,2.26,1007,31.1,58,404,23
,6126254,6126254,01:42:06.254,1550,00:00:01.550,31.9,52.38,0.23,0.48,1.98,2.05,1007,31.1,58,412,23
,6126300,6126300,01:42:06.300,1596,00:00:01.596,31.8,52.42,0.23,1.02,1.98,2.24,1007,31.1,58,400,23
,6126345,6126345,01:42:06.345,1641,00:00:01.641,31.9,52.43,0.16,0.66,1.98,2.09,1007,31.1,58,401,24
,6126390,6126390,01:42:06.390,1686,00:00:01.686,31.8,52.42,0.97,0.22,1.98,2.22,1007,31.1,58,406,22
,6126435,6126435,01:42:06.435,1731,00:00:01.731,31.8,52.45,0.19,0.33,1.98,2.02,1007,31.1,58,409,21
,6126480,6126480,01:42:06.480,1776,00:00:01.776,31.9,52.41,-0.84,0.44,1.98,2.20,1007,31.1,58,406,22
,6126525,6126525,01:42:06.525,1821,00:00:01.821,31.8,52.38,-0.17,0.86,1.98,2.17,1007,31.1,58,408,20
,6126570,6126570,01:42:06.570,1866,00:00:01.866,31.8,52.37,-0.08,0.66,1.98,2.09,1007,31.1,58,406,25
,6126617,6126617,01:42:06.617,1913,00:00:01.913,31.8,52.36,0.67,0.30,1.98,2.11,1007,31.1,58,400,18
,6126662,6126662,01:42:06.662,1958,00:00:01.958,31.8,52.29,0.11,0.23,1.98,2.00,1005,31.0,71,400,18
,6126708,6126708,01:42:06.708,2004,00:00:02.004,31.8,52.23,0.12,1.12,1.98,2.28,1005,31.0,71,400,18
,6126753,6126753,01:42:06.753,2049,00:00:02.049,31.8,52.11,0.48,-0.47,1.98,2.09,1005,31.0,71,400,16
,6126798,6126798,01:42:06.798,2094,00:00:02.094,31.8,52.03,0.53,-0.62,1.98,2.14,1005,31.0,71,400,19
,6126843,6126843,01:42:06.843,2139,00:00:02.139,31.8,51.98,0.30,-0.27,1.98,2.02,1005,31.0,71,401,24
,6126888,6126888,01:42:06.888,2184,00:00:02.184,31.8,51.90,0.23,-0.22,1.98,2.01,1005,31.0,71,403,19
,6126933,6126933,01:42:06.933,2229,00:00:02.229,31.8,51.96,0.00,0.39,1.98,2.02,1005,31.0,71,406,21
,6126978,6126978,01:42:06.978,2274,00:00:02.274,31.8,51.97,0.92,-0.45,1.98,2.23,1005,31.0,71,403,21
,6127025,6127025,01:42:07.025,2321,00:00:02.321,31.8,51.98,0.16,-0.83,1.98,2.15,1005,31.0,71,410,23
,6127070,6127070,01:42:07.070,2366,00:00:02.366,31.8,52.05,0.22,1.03,1.98,2.24,1005,31.0,71,400,16
,6127116,6127116,01:42:07.116,2412,00:00:02.412,31.8,52.13,-1.59,-0.16,1.98,2.54,1005,31.0,71,400,21
,6127161,6127161,01:42:07.161,2457,00:00:02.457,31.8,52.25,0.38,0.64,1.98,2.12,1005,31.0,71,400,17
,6127206,6127206,01:42:07.206,2502,00:00:02.502,31.8,52.31,0.11,0.53,1.98,2.05,1005,31.0,71,400,21
,6127251,6127251,01:42:07.251,2547,00:00:02.547,31.8,52.38,-0.30,-0.14,1.98,2.01,1005,31.0,71,405,17
,6127296,6127296,01:42:07.296,2592,00:00:02.592,31.8,52.42,1.44,1.39,1.98,2.82,1005,31.0,71,400,13
,6127341,6127341,01:42:07.341,2637,00:00:02.637,31.8,52.35,-0.89,0.67,1.98,2.27,1005,31.0,71,400,19
,6127386,6127386,01:42:07.386,2682,00:00:02.682,31.8,52.23,-0.31,0.16,1.98,2.01,1005,31.0,71,401,15
,6127433,6127433,01:42:07.433,2729,00:00:02.729,31.8,52.03,1.98,-1.05,1.89,2.93,1005,31.0,71,401,22
,6127478,6127478,01:42:07.478,2774,00:00:02.774,31.8,51.88,-1.30,1.22,1.98,2.66,1005,31.0,71,400,17
,6127524,6127524,01:42:07.524,2820,00:00:02.820,31.8,51.89,-2.00,1.77,1.98,3.32,1005,31.0,71,400,14
,6127568,6127568,01:42:07.568,2864,00:00:02.864,31.8,51.92,1.77,-1.72,1.98,3.16,1005,31.0,71,400,22
,6127614,6127614,01:42:07.614,2910,00:00:02.910,31.8,52.04,-2.00,1.98,1.98,3.44,1005,31.0,71,400,19
,6127659,6127659,01:42:07.659,2955,00:00:02.955,31.8,52.26,-1.05,1.23,1.98,2.56,999,31.1,124,400,20
,6127704,6127704,01:42:07.704,3000,00:00:03.000,31.9,52.35,1.98,1.47,1.98,3.16,999,31.1,124,400,14
,6127749,6127749,01:42:07.749,3045,00:00:03.045,31.8,52.47,-0.97,-0.81,1.98,2.35,999,31.1,124,400,17
,6127794,6127794,01:42:07.794,3090,00:00:03.090,31.9,52.50,0.39,1.98,1.98,2.83,999,31.1,124,400,20
,6127841,6127841,01:42:07.841,3137,00:00:03.137,31.8,52.39,-2.00,1.98,1.98,3.44,999,31.1,124,400,20
,6127886,6127886,01:42:07.886,3182,00:00:03.182,31.8,52.24,1.64,-0.61,1.98,2.64,999,31.1,124,400,22
,6127932,6127932,01:42:07.932,3228,00:00:03.228,31.8,51.99,-1.14,1.64,1.98,2.81,999,31.1,124,400,16
,6127976,6127976,01:42:07.976,3272,00:00:03.272,31.8,51.82,-0.22,1.98,1.98,2.81,999,31.1,124,400,18
,6128022,6128022,01:42:08.022,3318,00:00:03.318,31.8,51.84,0.20,0.97,1.98,2.21,999,31.1,124,400,17
,6128067,6128067,01:42:08.067,3363,00:00:03.363,31.8,51.95,0.45,0.72,1.98,2.15,999,31.1,124,400,16
,6128112,6128112,01:42:08.112,3408,00:00:03.408,31.8,51.99,0.03,0.45,1.98,2.03,999,31.1,124,400,17
,6128156,6128156,01:42:08.156,3452,00:00:03.452,31.8,52.17,0.12,0.66,1.98,2.09,999,31.1,124,400,20
,6128202,6128202,01:42:08.202,3498,00:00:03.498,31.8,52.25,0.31,0.52,1.98,2.07,999,31.1,124,400,13
,6128249,6128249,01:42:08.249,3545,00:00:03.545,31.8,52.29,0.02,0.59,1.98,2.07,999,31.1,124,400,16
,6128294,6128294,01:42:08.294,3590,00:00:03.590,31.8,52.24,-0.25,0.97,1.98,2.22,999,31.1,124,400,17
,6128340,6128340,01:42:08.340,3636,00:00:03.636,31.9,52.12,-0.23,0.67,1.98,2.10,999,31.1,124,400,15
,6128384,6128384,01:42:08.384,3680,00:00:03.680,31.9,51.93,-0.88,0.78,1.98,2.30,999,31.1,124,400,16
,6128430,6128430,01:42:08.430,3726,00:00:03.726,31.9,51.70,0.81,1.73,1.98,2.75,999,31.1,124,400,20
,6128474,6128474,01:42:08.474,3770,00:00:03.770,31.9,51.61,0.20,1.22,1.98,2.33,999,31.1,124,400,17
,6128520,6128520,01:42:08.520,3816,00:00:03.816,31.9,51.72,0.28,0.00,1.98,2.00,999,31.1,124,400,17
,6128565,6128565,01:42:08.565,3861,00:00:03.861,31.9,51.83,0.06,1.11,1.98,2.27,999,31.1,124,400,14
,6128610,6128610,01:42:08.610,3906,00:00:03.906,31.9,51.99,0.88,1.92,1.98,2.90,999,31.1,124,400,17
,6128657,6128657,01:42:08.657,3953,00:00:03.953,31.9,52.02,-0.23,-0.05,1.98,1.99,990,31.1,209,400,20
,6128702,6128702,01:42:08.702,3998,00:00:03.998,31.9,52.17,-1.17,0.70,1.98,2.40,990,31.1,209,400,19
,6128748,6128748,01:42:08.748,4044,00:00:04.044,31.9,52.15,1.61,1.61,1.98,3.02,990,31.1,209,400,19
,6128792,6128792,01:42:08.792,4088,00:00:04.088,31.9,51.97,1.62,1.98,1.98,3.23,990,31.1,209,400,17
,6128838,6128838,01:42:08.838,4134,00:00:04.134,31.9,51.74,-1.34,0.38,1.98,2.42,990,31.1,209,400,17
,6128883,6128883,01:42:08.883,4179,00:00:04.179,31.9,51.53,1.98,1.31,1.98,3.09,990,31.1,209,400,15
,6128928,6128928,01:42:08.928,4224,00:00:04.224,31.9,51.53,-0.36,0.70,1.03,1.30,990,31.1,209,400,13
,6128973,6128973,01:42:08.973,4269,00:00:04.269,31.9,51.65,1.50,1.84,1.98,3.09,990,31.1,209,400,17
,6129018,6129018,01:42:09.018,4314,00:00:04.314,31.9,51.86,-0.08,0.92,1.98,2.18,990,31.1,209,400,16
,6129065,6129065,01:42:09.065,4361,00:00:04.361,31.9,51.95,-0.55,1.27,1.98,2.42,990,31.1,209,400,9
,6129110,6129110,01:42:09.110,4406,00:00:04.406,31.9,52.03,1.42,1.91,1.98,3.10,990,31.1,209,400,15
,6129156,6129156,01:42:09.156,4452,00:00:04.452,31.9,51.86,-1.97,0.62,1.98,2.86,990,31.1,209,400,11
,6129200,6129200,01:42:09.200,4496,00:00:04.496,31.9,51.61,0.84,1.98,1.98,2.92,990,31.1,209,400,19
,6129246,6129246,01:42:09.246,4542,00:00:04.542,31.9,51.35,-0.62,0.36,1.98,2.11,990,31.1,209,400,23
,6129290,6129290,01:42:09.290,4586,00:00:04.586,31.9,51.42,0.27,1.17,-0.02,1.20,990,31.1,209,400,17
,6129336,6129336,01:42:09.336,4632,00:00:04.632,31.9,51.54,0.14,1.52,1.98,2.50,990,31.1,209,400,13
,6129380,6129380,01:42:09.380,4676,00:00:04.676,31.9,51.74,-0.81,1.22,0.92,1.73,990,31.1,209,400,15
,6129426,6129426,01:42:09.426,4722,00:00:04.722,31.9,51.82,1.98,1.61,1.98,3.23,990,31.1,209,400,14
,6129473,6129473,01:42:09.473,4769,00:00:04.769,31.9,51.87,-1.36,0.08,1.98,2.40,990,31.1,209,400,16
,6129518,6129518,01:42:09.518,4814,00:00:04.814,31.9,51.73,1.98,1.98,1.98,3.43,990,31.1,209,400,18
,6129564,6129564,01:42:09.564,4860,00:00:04.860,31.9,51.46,-2.00,-0.45,1.27,2.41,990,31.1,209,400,16
,6129608,6129608,01:42:09.608,4904,00:00:04.904,31.9,51.24,1.98,1.98,1.98,3.43,975,31.1,340,400,17
,6129654,6129654,01:42:09.654,4950,00:00:04.950,31.9,51.20,-1.38,-0.28,1.98,2.43,975,31.1,340,400,14
,6129699,6129699,01:42:09.699,4995,00:00:04.995,31.9,51.30,1.09,1.95,1.98,2.99,975,31.1,340,400,18
,6129744,6129744,01:42:09.744,5040,00:00:05.040,31.8,51.55,-1.59,0.02,1.98,2.54,975,31.1,340,400,14
,6129788,6129788,01:42:09.788,5084,00:00:05.084,31.8,51.62,1.98,1.98,1.98,3.43,975,31.1,340,400,15
,6129834,6129834,01:42:09.834,5130,00:00:05.130,31.9,51.69,0.19,1.78,-0.08,1.79,975,31.1,340,400,17
,6129881,6129881,01:42:09.881,5177,00:00:05.177,31.9,51.56,-0.78,0.75,1.98,2.26,975,31.1,340,400,12
,6129926,6129926,01:42:09.926,5222,00:00:05.222,31.9,51.31,0.95,1.98,1.98,2.96,975,31.1,340,400,14
,6129972,6129972,01:42:09.972,5268,00:00:05.268,31.9,51.01,0.59,1.58,1.98,2.60,975,31.1,340,400,17
,6130016,6130016,01:42:10.016,5312,00:00:05.312,31.9,51.02,0.08,1.77,1.98,2.66,975,31.1,340,400,17
,6130062,6130062,01:42:10.062,5358,00:00:05.358,31.8,51.18,-0.31,1.38,1.98,2.43,975,31.1,340,400,17
,6130106,6130106,01:42:10.106,5402,00:00:05.402,31.8,51.37,-1.11,1.41,1.98,2.67,975,31.1,340,400,11
,6130152,6130152,01:42:10.152,5448,00:00:05.448,31.9,51.50,-0.42,1.98,1.98,2.83,975,31.1,340,400,15
,6130196,6130196,01:42:10.196,5492,00:00:05.492,31.9,51.55,-0.03,1.53,1.98,2.50,975,31.1,340,400,13
,6130241,6130241,01:42:10.241,5537,00:00:05.537,31.8,51.37,0.05,1.98,1.98,2.80,975,31.1,340,400,17
,6130289,6130289,01:42:10.289,5585,00:00:05.585,31.8,51.09,0.27,1.98,1.98,2.81,975,31.1,340,400,12
,6130334,6130334,01:42:10.334,5630,00:00:05.630,31.8,50.84,0.50,1.05,1.98,2.30,975,31.1,340,400,14
,6130380,6130380,01:42:10.380,5676,00:00:05.676,31.8,50.90,-0.83,1.09,1.98,2.41,975,31.1,340,400,16
,6130424,6130424,01:42:10.424,5720,00:00:05.720,31.9,51.10,-0.73,1.03,1.98,2.35,975,31.1,340,400,18
,6130470,6130470,01:42:10.470,5766,00:00:05.766,31.8,51.30,0.67,0.73,1.98,2.21,975,31.1,340,400,18
,6130514,6130514,01:42:10.514,5810,00:00:05.810,31.8,51.40,-0.05,0.64,1.98,2.08,975,31.1,340,400,15
,6130560,6130560,01:42:10.560,5856,00:00:05.856,31.9,51.35,-1.33,0.80,1.98,2.52,975,31.1,340,400,14
,6130604,6130604,01:42:10.604,5900,00:00:05.900,31.9,51.12,0.03,1.80,1.98,2.68,963,31.1,446,400,16
,6130650,6130650,01:42:10.650,5946,00:00:05.946,31.9,50.77,0.89,0.86,1.98,2.33,963,31.1,446,400,20
,6130697,6130697,01:42:10.697,5993,00:00:05.993,31.9,50.79,1.28,0.59,1.98,2.43,963,31.1,446,400,16
,6130742,6130742,01:42:10.742,6038,00:00:06.038,31.9,50.95,0.95,1.98,1.98,2.96,963,31.1,446,400,14
,6130788,6130788,01:42:10.788,6084,00:00:06.084,31.9,51.14,-1.94,0.91,1.98,2.92,963,31.1,446,400,21
,6130832,6130832,01:42:10.832,6128,00:00:06.128,31.9,51.30,-0.84,1.08,1.98,2.41,963,31.1,446,400,16
,6130877,6130877,01:42:10.877,6173,00:00:06.173,31.8,51.30,-0.95,1.77,1.98,2.82,963,31.1,446,400,14
,6130922,6130922,01:42:10.922,6218,00:00:06.218,31.8,51.04,-1.30,1.56,1.98,2.84,963,31.1,446,400,18
,6130967,6130967,01:42:10.967,6263,00:00:06.263,31.8,50.67,1.98,1.98,1.98,3.43,963,31.1,446,400,17
,6131012,6131012,01:42:11.012,6308,00:00:06.308,31.8,50.61,-0.09,1.41,1.98,2.43,963,31.1,446,400,19
,6131058,6131058,01:42:11.058,6354,00:00:06.354,31.9,50.83,-0.64,0.78,1.59,1.88,963,31.1,446,400,16
,6131105,6131105,01:42:11.105,6401,00:00:06.401,31.9,51.09,1.98,1.98,1.98,3.43,963,31.1,446,400,13
,6131150,6131150,01:42:11.150,6446,00:00:06.446,31.8,51.19,-1.41,1.80,1.98,3.02,963,31.1,446,400,14
,6131195,6131195,01:42:11.195,6491,00:00:06.491,31.8,51.11,1.98,1.98,1.98,3.43,963,31.1,446,400,15
,6131240,6131240,01:42:11.240,6536,00:00:06.536,31.9,50.74,-1.53,0.97,1.98,2.68,963,31.1,446,400,15
,6131286,6131286,01:42:11.286,6582,00:00:06.582,31.8,50.47,-1.53,1.98,1.98,3.19,963,31.1,446,400,14
,6131330,6131330,01:42:11.330,6626,00:00:06.626,31.8,50.57,0.50,1.05,1.98,2.30,963,31.1,446,400,11
,6131376,6131376,01:42:11.376,6672,00:00:06.672,31.9,50.82,0.75,1.81,1.98,2.79,963,31.1,446,400,11
,6131420,6131420,01:42:11.420,6716,00:00:06.716,31.9,50.98,-0.80,1.64,1.98,2.69,963,31.1,446,400,14
,6131465,6131465,01:42:11.465,6761,00:00:06.761,31.9,51.03,1.00,1.98,1.98,2.97,963,31.1,446,400,19
,6131513,6131513,01:42:11.513,6809,00:00:06.809,31.9,50.80,1.98,1.98,1.98,3.43,963,31.1,446,400,17
,6131558,6131558,01:42:11.558,6854,00:00:06.854,31.9,50.35,-2.00,0.64,1.19,2.41,963,31.1,446,400,18
,6131603,6131603,01:42:11.603,6899,00:00:06.899,31.9,50.33,1.98,1.98,1.98,3.43,948,31.1,587,400,11
,6131648,6131648,01:42:11.648,6944,00:00:06.944,31.9,50.58,-0.84,0.44,1.98,2.20,948,31.1,587,400,15
,6131693,6131693,01:42:11.693,6989,00:00:06.989,31.8,50.77,-1.19,1.61,1.98,2.82,948,31.1,587,400,14
,6131738,6131738,01:42:11.738,7034,00:00:07.034,31.9,50.93,-0.94,1.98,0.95,2.39,948,31.1,587,400,18
,6131783,6131783,01:42:11.783,7079,00:00:07.079,31.9,50.67,1.78,1.98,1.98,3.32,948,31.1,587,400,14
,6131828,6131828,01:42:11.828,7124,00:00:07.124,31.9,50.22,1.72,1.98,1.98,3.29,948,31.1,587,400,22
,6131873,6131873,01:42:11.873,7169,00:00:07.169,31.9,50.19,-2.00,0.20,1.61,2.58,948,31.1,587,400,17
,6131921,6131921,01:42:11.921,7217,00:00:07.217,31.9,50.42,-1.69,1.14,0.58,2.12,948,31.1,587,400,12
,6131966,6131966,01:42:11.966,7262,00:00:07.262,31.9,50.64,1.98,1.98,1.98,3.43,948,31.1,587,400,15
,6132011,6132011,01:42:12.011,7307,00:00:07.307,31.9,50.69,1.00,1.98,1.98,2.97,948,31.1,587,400,9
,6132056,6132056,01:42:12.056,7352,00:00:07.352,31.9,50.44,-1.62,1.19,1.98,2.82,948,31.1,587,400,19
,6132101,6132101,01:42:12.101,7397,00:00:07.397,31.9,49.99,0.41,1.98,1.98,2.83,948,31.1,587,400,12
,6132146,6132146,01:42:12.146,7442,00:00:07.442,31.9,50.04,1.98,1.98,1.98,3.43,948,31.1,587,400,12
,6132191,6132191,01:42:12.191,7487,00:00:07.487,31.9,50.35,-0.39,1.98,1.98,2.83,948,31.1,587,400,13
,6132236,6132236,01:42:12.236,7532,00:00:07.532,31.9,50.53,-0.34,1.98,1.98,2.82,948,31.1,587,400,10
,6132281,6132281,01:42:12.281,7577,00:00:07.577,31.9,50.48,0.00,1.81,1.98,2.68,948,31.1,587,400,10
,6132329,6132329,01:42:12.329,7625,00:00:07.625,31.9,50.13,0.25,1.98,1.98,2.81,948,31.1,587,400,10
,6132374,6132374,01:42:12.374,7670,00:00:07.670,31.9,49.82,0.42,1.98,1.98,2.83,948,31.1,587,400,14
,6132419,6132419,01:42:12.419,7715,00:00:07.715,31.8,49.96,-0.05,1.98,1.98,2.80,948,31.1,587,400,13
,6132464,6132464,01:42:12.464,7760,00:00:07.760,31.9,50.25,0.02,1.98,1.98,2.80,948,31.1,587,400,11
,6132509,6132509,01:42:12.509,7805,00:00:07.805,31.9,50.35,-0.34,1.98,1.98,2.82,948,31.1,587,400,14
,6132554,6132554,01:42:12.554,7850,00:00:07.850,31.8,50.14,0.25,1.98,1.98,2.81,948,31.1,587,400,10
,6132599,6132599,01:42:12.599,7895,00:00:07.895,31.9,49.69,0.17,1.98,1.98,2.81,931,31.1,745,400,14
,6132644,6132644,01:42:12.644,7940,00:00:07.940,31.9,49.69,-0.22,1.98,1.98,2.81,931,31.1,745,400,9
,6132689,6132689,01:42:12.689,7985,00:00:07.985,31.9,50.01,0.23,1.98,1.98,2.81,931,31.1,745,400,9
,6132737,6132737,01:42:12.737,8033,00:00:08.033,31.9,50.21,-0.17,1.98,1.98,2.81,931,31.1,745,400,9
,6132782,6132782,01:42:12.782,8078,00:00:08.078,31.9,50.08,-0.14,1.98,1.98,2.80,931,31.1,745,400,10
,6132837,6132837,01:42:12.837,8133,00:00:08.133,31.9,49.55,0.41,1.98,1.98,2.83,931,31.1,745,400,10
,6132881,6132881,01:42:12.881,8177,00:00:08.177,31.9,49.60,-0.25,1.98,1.98,2.81,931,31.1,745,400,4
,6132926,6132926,01:42:12.926,8222,00:00:08.222,31.9,49.92,-0.30,1.98,1.98,2.82,931,31.1,745,400,11
,6132971,6132971,01:42:12.971,8267,00:00:08.267,31.9,50.12,0.41,1.98,1.98,2.83,931,31.1,745,400,10
,6133016,6133016,01:42:13.016,8312,00:00:08.312,31.9,49.92,0.47,1.98,1.98,2.84,931,31.1,745,400,12
,6133061,6133061,01:42:13.061,8357,00:00:08.357,31.9,49.43,0.16,1.98,1.98,2.80,931,31.1,745,400,10
,6133106,6133106,01:42:13.106,8402,00:00:08.402,31.9,49.46,-0.52,1.98,1.98,2.85,931,31.1,745,400,2
,6133151,6133151,01:42:13.151,8447,00:00:08.447,31.9,49.82,0.39,1.98,1.98,2.83,931,31.1,745,400,9
,6133199,6133199,01:42:13.199,8495,00:00:08.495,31.9,49.97,0.25,1.98,1.98,2.81,931,31.1,745,400,16
,6133244,6133244,01:42:13.244,8540,00:00:08.540,31.9,49.80,0.22,1.98,1.98,2.81,931,31.1,745,400,7
,6133289,6133289,01:42:13.289,8585,00:00:08.585,31.9,49.28,0.16,1.98,1.98,2.80,931,31.1,745,400,9
,6133334,6133334,01:42:13.334,8630,00:00:08.630,31.9,49.37,0.36,1.98,1.98,2.82,931,31.1,745,400,13
,6133393,6133393,01:42:13.393,8689,00:00:08.689,31.9,49.70,-0.03,1.98,1.98,2.80,931,31.1,745,400,11
,6133437,6133437,01:42:13.437,8733,00:00:08.733,31.8,49.86,-0.27,1.98,1.98,2.81,931,31.1,745,400,10
,6133482,6133482,01:42:13.482,8778,00:00:08.778,31.9,49.37,0.09,1.98,1.98,2.80,931,31.1,745,400,11
,6133527,6133527,01:42:13.527,8823,00:00:08.823,31.9,49.09,0.06,1.98,1.98,2.80,931,31.1,745,400,12
,6133572,6133572,01:42:13.572,8868,00:00:08.868,31.9,49.32,0.06,1.98,1.98,2.80,931,31.1,745,400,16
,6133620,6133620,01:42:13.620,8916,00:00:08.916,31.9,49.65,-0.02,1.98,1.98,2.80,914,31.1,913,400,17
,6133665,6133665,01:42:13.665,8961,00:00:08.961,31.9,49.53,-0.33,1.98,1.98,2.82,914,31.1,913,400,13
,6133711,6133711,01:42:13.711,9007,00:00:09.007,31.9,49.03,0.06,1.98,1.98,2.80,914,31.1,913,400,9
,6133755,6133755,01:42:13.755,9051,00:00:09.051,31.9,48.96,-0.66,1.98,1.98,2.88,914,31.1,913,400,10
,6133801,6133801,01:42:13.801,9097,00:00:09.097,31.9,49.37,0.00,1.98,1.98,2.80,914,31.1,913,400,7
,6133845,6133845,01:42:13.845,9141,00:00:09.141,31.9,49.55,0.38,1.98,1.98,2.83,914,31.1,913,400,8
,6133890,6133890,01:42:13.890,9186,00:00:09.186,31.9,49.30,0.27,1.98,1.98,2.81,914,31.1,913,400,12
,6133935,6133935,01:42:13.935,9231,00:00:09.231,31.9,48.80,0.67,1.98,1.98,2.88,914,31.1,913,400,8
,6133980,6133980,01:42:13.980,9276,00:00:09.276,31.9,49.03,-0.05,1.98,1.98,2.80,914,31.1,913,400,10
,6134060,6134060,01:42:14.060,9356,00:00:09.356,31.9,49.38,0.20,1.98,1.98,2.81,914,31.1,913,400,5
,6134105,6134105,01:42:14.105,9401,00:00:09.401,31.8,49.28,0.45,1.98,1.98,2.84,914,31.1,913,400,14
,6134150,6134150,01:42:14.150,9446,00:00:09.446,31.9,48.75,0.03,1.98,1.98,2.80,914,31.1,913,400,15
,6134195,6134195,01:42:14.195,9491,00:00:09.491,31.8,49.06,-0.28,1.98,1.98,2.81,914,31.1,913,400,11
,6134240,6134240,01:42:14.240,9536,00:00:09.536,31.9,49.40,-0.27,1.98,1.98,2.81,914,31.1,913,400,11
,6134285,6134285,01:42:14.285,9581,00:00:09.581,31.9,49.30,-0.33,1.98,1.98,2.82,914,31.1,913,400,12
,6134330,6134330,01:42:14.330,9626,00:00:09.626,31.9,48.73,-0.28,1.98,1.98,2.81,914,31.1,913,400,8
,6134375,6134375,01:42:14.375,9671,00:00:09.671,31.9,48.78,-0.25,1.98,1.98,2.81,914,31.1,913,400,10
